493.287 634.16 0 0 -399.919 8.0688 0
493.304 635.002 0 0 -399.911 8.42356 0
846.781 626.531 0 0 -399.911 8.45143 0
513.789 675 0 0 -600 0 0
513.789 615 0 0 -600 0 0
513.789 555 0 0 -600 0 0
846.792 627.059 0 0 -399.902 8.83855 0
513.789 675 0 0 -600 0 0
513.789 615 0 0 -600 0 0
513.789 555 0 0 -600 0 0
1201.5 618.457 0 0 -399.878 9.85858 0
1071.32 675 0 0 -600 0 0
1071.32 615 0 0 -600 0 0
1071.32 555 0 0 -600 0 0
1201.5 618.606 0 0 -399.868 10.2849 0
1071.32 675 0 0 -600 0 0
1071.32 615 0 0 -600 0 0
1071.32 555 0 0 -600 0 0
